587,1124,313,736,303,2585,2475,2720,754,246,610,246
478,410,684,549,519,1415,1699,1935,951,830,544,464
559,1316,587,402,551,2019,2615,1186,954,62,735,884
2255,1758,694,930,204,786,2274,2516,3060,440,702,1535
522,1678,1368,411,58,3749,1995,2523,1861,348,386,1049
1035,1637,277,402,1436,1935,1140,1608,1899,549,112,421
924,1525,181,295,1834,1639,1825,2538,496,195,247,1353
127,713,325,216,1733,2003,1977,3770,747,905,697,356
276,1195,1433,289,894,992,1911,2131,2994,1030,774,1621
328,1224,799,682,1382,980,2248,804,903,207,737,54
300,422,393,1019,946,1805,1789,4023,1016,1190,447,397
1401,1457,788,213,188,1353,1321,1757,837,874,781,1270
1035,1436,2485,97,1152,630,1234,631,848,0,1145,496
1318,1273,1961,363,598,565,527,3068,3041,206,843,408
290,303,550,745,485,2454,1128,1544,1185,260,543,794
500,898,463,707,218,2863,1627,1038,759,804,468,410
1691,81,2231,1530,1586,1671,1844,1020,610,360,79,248
1322,884,1016,961,506,3266,386,2174,1110,1458,524,187
829,1213,1172,231,358,1541,868,1435,509,2028,343,566
2291,111,673,384,973,1167,1946,1561,1518,1297,177,326
783,272,1561,1316,628,1919,1945,1828,533,1100,801,328
569,196,2826,697,511,1562,2820,1215,619,1352,384,1136
508,272,607,1885,816,2284,1803,961,638,1549,1031,2439
940,2941,801,20,239,714,1804,1926,1890,41,61,217
1244,489,156,422,402,1718,874,1806,1173,467,559,291
812,166,544,286,129,1554,1373,949,2150,235,385,151
203,225,1641,255,351,2741,2063,714,2078,21,145,273
1026,260,443,189,677,1864,2792,1748,1730,673,1004,1653
102,1338,2211,280,473,2165,1325,1055,1420,663,699,118
401,1404,509,283,117,1796,1014,3638,4178,663,504,324
360,464,1171,1375,1050,2057,1243,1888,305,871,307,1613
871,1291,81,889,161,1218,1402,703,790,656,240,706
1015,810,426,178,195,1750,2265,1686,869,1782,214,519
964,800,1107,267,158,1348,1427,2342,134,929,391,228
887,531,1007,685,2090,929,1710,1721,722,363,573,691
1154,984,827,760,783,2286,1384,1244,344,0,143,176
935,913,773,298,668,1469,888,837,473,693,412,124
215,270,854,232,1754,4150,696,2527,1591,227,13,1760
84,418,248,883,1161,1586,4229,712,813,21,841,964
