"uid","domainID","siteID","plotID","trapCoordinate","date","eventID","trapStatus","trapType","duplicateTrapCoordinateQF"
"308AB62CFA97405183A899633ACDFBF1","D03","OSBS","OSBS_004","D3","2013-07-09","MAM.OSBS.2013.07",6,,0
"41FE31352B9E4A5A8B978FC9DE701357","D03","OSBS","OSBS_004","D6","2013-07-09","MAM.OSBS.2013.07",6,,0
"3721CA716D1D4874B9AA53103A714A7D","D03","OSBS","OSBS_004","D5","2013-07-09","MAM.OSBS.2013.07",6,,0
"C3C9CAFE7BB4455E8A1EDFEE90A39CD9","D03","OSBS","OSBS_004","D8","2013-07-09","MAM.OSBS.2013.07",2,,0
"1C8831D75DA64579B0F2D19CF54DDAA3","D03","OSBS","OSBS_004","D7","2013-07-09","MAM.OSBS.2013.07",6,,0
"6685DCDE329442BD9D49AE28318C34B8","D03","OSBS","OSBS_004","D9","2013-07-09","MAM.OSBS.2013.07",6,,0
"FEAE1AFC4EED4B62AB5291DC4B0142D6","D03","OSBS","OSBS_004","D2","2013-07-09","MAM.OSBS.2013.07",6,,0
"405B058F2CEB413DA72BABDB91067D27","D03","OSBS","OSBS_004","D1","2013-07-09","MAM.OSBS.2013.07",6,,0
"61D24C933E1341EEA662C8DD91223D72","D03","OSBS","OSBS_004","B9","2013-07-09","MAM.OSBS.2013.07",6,,0
"DC19F0D265D04C40AAE9A05C083853B7","D03","OSBS","OSBS_004","C9","2013-07-09","MAM.OSBS.2013.07",6,,0
"60C88AF455F245F497208AF4D3A64C42","D03","OSBS","OSBS_004","C8","2013-07-09","MAM.OSBS.2013.07",6,,0
"2441227947D54EB689D87300A70773D6","D03","OSBS","OSBS_004","C7","2013-07-09","MAM.OSBS.2013.07",6,,0
"4478C96AA909460BB53F9E1318359703","D03","OSBS","OSBS_004","C6","2013-07-09","MAM.OSBS.2013.07",6,,0
"4DF5573ED108480C9578FF572555D7E6","D03","OSBS","OSBS_004","C5","2013-07-09","MAM.OSBS.2013.07",6,,0
"7145547260D84890AFF8110DA775DDD1","D03","OSBS","OSBS_004","C4","2013-07-09","MAM.OSBS.2013.07",6,,0
"F26D448562054EA08105F3C6FEE40898","D03","OSBS","OSBS_004","C3","2013-07-09","MAM.OSBS.2013.07",6,,0
"5C3D0D6ADA8F4A06905535B743E9B994","D03","OSBS","OSBS_004","C2","2013-07-09","MAM.OSBS.2013.07",6,,0
"95E9957F1DE24D7A8A97735BC0EB84E5","D03","OSBS","OSBS_004","C1","2013-07-09","MAM.OSBS.2013.07",6,,0
"CF100BA74D7F4AABB792F1F482562E22","D03","OSBS","OSBS_004","A8","2013-07-09","MAM.OSBS.2013.07",2,,0
"662B77995AA445318442C0B405FDA75F","D03","OSBS","OSBS_004","A9","2013-07-09","MAM.OSBS.2013.07",6,,0
"D04CC5BC31C44C48B22C026258941399","D03","OSBS","OSBS_004","B6","2013-07-09","MAM.OSBS.2013.07",6,,0
"D1A9EE9ED5164B8BBDCD50DB8BFF2285","D03","OSBS","OSBS_004","B5","2013-07-09","MAM.OSBS.2013.07",6,,0
"E41EE63FF02F4C3E9B7E08F98C7B217E","D03","OSBS","OSBS_004","B8","2013-07-09","MAM.OSBS.2013.07",6,,0
"B09D3562944F4781B2499C50EF456F18","D03","OSBS","OSBS_004","B7","2013-07-09","MAM.OSBS.2013.07",6,,0
"EB3C071BBB524DA19BE66A17DAA7BDFE","D03","OSBS","OSBS_004","G9","2013-07-09","MAM.OSBS.2013.07",6,,0
"DA07C0904F714CD898C145BA363341E7","D03","OSBS","OSBS_004","G6","2013-07-09","MAM.OSBS.2013.07",6,,0
"40D01F1BD34C40EAA9EF9FAB4251E0A8","D03","OSBS","OSBS_004","G7","2013-07-09","MAM.OSBS.2013.07",6,,0
"8E24D091A1DD4396968EBB63ECEC7887","D03","OSBS","OSBS_004","F1","2013-07-09","MAM.OSBS.2013.07",6,,0
"34F8B6ABC8064EAE961DDB7126A6AB0A","D03","OSBS","OSBS_004","F2","2013-07-09","MAM.OSBS.2013.07",6,,0
"ED021892D62C4F06BBB4A337D03950DC","D03","OSBS","OSBS_004","F3","2013-07-09","MAM.OSBS.2013.07",6,,0
"0518A8D976F34A179BC5E4CE5FAB9832","D03","OSBS","OSBS_004","F4","2013-07-09","MAM.OSBS.2013.07",6,,0
"44DB5F1E6FB3481DA088BA98CB9F083B","D03","OSBS","OSBS_004","F9","2013-07-09","MAM.OSBS.2013.07",6,,0
"CB760C2D7D3B4739AF7072DD9D6DC6F5","D03","OSBS","OSBS_004","F5","2013-07-09","MAM.OSBS.2013.07",6,,0
"02F27DFB00FF44F59D4F81AB8016C2CD","D03","OSBS","OSBS_004","F6","2013-07-09","MAM.OSBS.2013.07",6,,0
"6E87653B02D748DA93DA6ED66445BDEF","D03","OSBS","OSBS_004","F7","2013-07-09","MAM.OSBS.2013.07",6,,0
"1B2CF90D74A447599410A37365D0C78A","D03","OSBS","OSBS_004","F8","2013-07-09","MAM.OSBS.2013.07",2,,0
"D39C2D8E21BD49E98BBFD6ADB1C048ED","D03","OSBS","OSBS_004","F10","2013-07-09","MAM.OSBS.2013.07",2,,0
"9A986B03FEEA4DC1B0DA6B8DFF4CEB94","D03","OSBS","OSBS_004","I10","2013-07-09","MAM.OSBS.2013.07",6,,0
"CEBFE05F516E4D328F0245BF6729D492","D03","OSBS","OSBS_004","D10","2013-07-09","MAM.OSBS.2013.07",2,,0
"C2E5775D89E64858828B4256D5EC4BC4","D03","OSBS","OSBS_004","H10","2013-07-09","MAM.OSBS.2013.07",6,,0
"164BC2A1727F45018F680108BA0A9159","D03","OSBS","OSBS_004","B10","2013-07-09","MAM.OSBS.2013.07",6,,0
"BCDB2DE22A444E6BAA55D9304D54F7E0","D03","OSBS","OSBS_004","J4","2013-07-09","MAM.OSBS.2013.07",6,,0
"EAC7355B20FF4992BF7154E2F31A334F","D03","OSBS","OSBS_004","J3","2013-07-09","MAM.OSBS.2013.07",6,,0
"CB027C6910F541B3A73DA2D25423BCD7","D03","OSBS","OSBS_004","J2","2013-07-09","MAM.OSBS.2013.07",6,,0
"4587976997A14974AC661A0159F8F20B","D03","OSBS","OSBS_004","J1","2013-07-09","MAM.OSBS.2013.07",6,,0
"72D4C4FAC77B4AA7A1D374BB77BD3725","D03","OSBS","OSBS_004","J8","2013-07-09","MAM.OSBS.2013.07",6,,0
"6481FCD3B5814E1D97833E5B349C3A22","D03","OSBS","OSBS_004","J7","2013-07-09","MAM.OSBS.2013.07",6,,0
"432FE6113B8444EBA300523EBD24E55D","D03","OSBS","OSBS_004","J6","2013-07-09","MAM.OSBS.2013.07",6,,0
"1946E783CD8D436B957BEB841B910D92","D03","OSBS","OSBS_004","J5","2013-07-09","MAM.OSBS.2013.07",6,,0
"95A1953128BA4CC982FAE77BDB769CB7","D03","OSBS","OSBS_004","J9","2013-07-09","MAM.OSBS.2013.07",6,,0
"38C74E0097F4438FA20287AF0A64494E","D03","OSBS","OSBS_004","E10","2013-07-09","MAM.OSBS.2013.07",6,,0
"3219A73E47BE4F1FAC30D1FD3CC633F6","D03","OSBS","OSBS_004","J10","2013-07-09","MAM.OSBS.2013.07",6,,0
"DA8B126BFC1740A595F59E814B8E628F","D03","OSBS","OSBS_004","C10","2013-07-09","MAM.OSBS.2013.07",6,,0
"63FAD718D94749E4800081FB4EFA9F6C","D03","OSBS","OSBS_004","G10","2013-07-09","MAM.OSBS.2013.07",6,,0
"0B6608C1EA524EBBB12E5FCAFD6202AD","D03","OSBS","OSBS_004","A1","2013-07-09","MAM.OSBS.2013.07",6,,0
"02EC3D7239E44397BEC6B7ACE7BA469C","D03","OSBS","OSBS_004","A2","2013-07-09","MAM.OSBS.2013.07",5,,0
"D9A2550928324BF88797C2184DCAEDB0","D03","OSBS","OSBS_004","A3","2013-07-09","MAM.OSBS.2013.07",6,,0
"7A54691F7BB549ADA8F5135605F79528","D03","OSBS","OSBS_004","A4","2013-07-09","MAM.OSBS.2013.07",6,,0
"4A47EFD035F6434798797CEE1CD37F7C","D03","OSBS","OSBS_004","A5","2013-07-09","MAM.OSBS.2013.07",6,,0
"6508D55A91B94EC2B4193CF8DA29D894","D03","OSBS","OSBS_004","A6","2013-07-09","MAM.OSBS.2013.07",6,,0
"D35D62AA47D54429B78ADC31909D2714","D03","OSBS","OSBS_004","B2","2013-07-09","MAM.OSBS.2013.07",6,,0
