"species","lengths"
"Stegosauria",18.5258848542353
"Ankylosauria",16.4359817008649
"Ankylosauria",23.7342116796492
"Sauropoda",23.9341101851924
"Ankylosauria",21.6871759546428
"Ankylosauria",21.3836314885473
"Theropoda",22.3121668520964
"Theropoda",15.1774872293227
"Theropoda",21.4467070458286
"Stegosauria",22.7996224875646
"Theropoda",13.8740891848333
"Sauropoda",18.6302486097516
"Theropoda",23.6293520503043
"Sauropoda",25.2299560487703
"Stegosauria",19.6801598533655
"Stegosauria",16.7993972514912
"Sauropoda",21.910792926989
"Ankylosauria",20.9358213588001
"Sauropoda",22.0413182343754
"Sauropoda",19.2025738503051
"Ankylosauria",20.8752235576247
"Theropoda",21.5262823118308
"Sauropoda",19.1502305121813
"Stegosauria",19.9461133412914
"Sauropoda",18.5148474646876
"Sauropoda",16.6164799004368
"Theropoda",13.7668568127168
"Sauropoda",13.5138816486431
"Theropoda",21.3951921452342
"Stegosauria",18.3822919031044
"Theropoda",21.9235308295749
"Theropoda",21.8695680858312
"Ankylosauria",20.0771686296459
"Stegosauria",15.6355021477267
"Stegosauria",16.7119567038502
"Ankylosauria",21.6730038536466
"Ankylosauria",15.6741307128925
"Theropoda",24.6624371244676
"Sauropoda",20.7146905691634
"Theropoda",20.0201501632842
"Stegosauria",29.1162771575853
"Sauropoda",22.0296380016332
"Sauropoda",14.4773353376932
"Stegosauria",19.9404832140532
"Stegosauria",27.8868227231046
"Ankylosauria",23.6814432092011
"Theropoda",24.7826791504218
"Ankylosauria",20.7126986379492
"Stegosauria",19.0725310983362
"Stegosauria",17.7574463505308
"Theropoda",22.9543820403422
"Theropoda",11.6848938196714
"Theropoda",19.3064351752802
"Theropoda",17.3009435608203
"Sauropoda",17.3444948190326
"Stegosauria",17.5666900401505
"Sauropoda",20.4971374702726
"Theropoda",15.2993507557707
"Ankylosauria",15.8150420482015
"Sauropoda",17.5273105684763
"Theropoda",18.7042066212693
"Ankylosauria",19.1223007401548
"Stegosauria",13.8500228001552
"Theropoda",23.822637444633
"Sauropoda",25.0822108897911
"Theropoda",23.02242285705
"Theropoda",15.4006672260581
"Sauropoda",19.4405953520557
"Ankylosauria",10.9211512751265
"Ankylosauria",20.9860079701336
"Ankylosauria",21.2651063757253
"Stegosauria",11.9201370643965
"Ankylosauria",19.7183874482532
"Ankylosauria",18.0461237038253
"Ankylosauria",15.5791363724358
"Ankylosauria",16.9222209055097
"Theropoda",21.1119173106431
"Theropoda",23.6205849554997
"Sauropoda",13.4028937382704
"Ankylosauria",20.1586185890186
"Theropoda",23.4163582675805
"Stegosauria",23.3730489878484
"Ankylosauria",23.5577421442653
"Stegosauria",24.006718038031
"Stegosauria",14.0503046151072
"Ankylosauria",21.6058968461208
"Theropoda",21.7522303831746
"Ankylosauria",17.2356845809335
"Ankylosauria",17.743844850769
"Ankylosauria",18.3840391531951
"Theropoda",20.2536876638066
"Stegosauria",22.1239322222843
"Stegosauria",20.2726048007139
"Sauropoda",21.668335210813
"Ankylosauria",19.5408047963815
"Ankylosauria",20.2191178774143
"Sauropoda",12.6305091476722
"Sauropoda",22.056241929121
"Ankylosauria",19.25849994377
"Ankylosauria",24.5118747848064
"Stegosauria",14.7815364473748
"Stegosauria",20.8268748610741
"Sauropoda",14.719243332837
"Theropoda",17.662684163572
"Sauropoda",19.8430134303207
"Stegosauria",16.6699953186589
"Ankylosauria",20.5867186075368
"Stegosauria",17.0812802237479
"Theropoda",19.9502370012602
"Theropoda",21.8548174194352
"Stegosauria",17.9352527190649
"Ankylosauria",23.1841085709461
"Stegosauria",18.0378318930207
"Ankylosauria",17.8358075147111
"Sauropoda",17.1676919341414
"Theropoda",19.4259635817614
"Ankylosauria",19.5823035099526
"Stegosauria",16.7495759295447
"Ankylosauria",19.9813052472876
"Theropoda",26.1109779278176
"Stegosauria",30.2919425356513
"Ankylosauria",18.4504722572187
"Sauropoda",22.9662808831927
"Ankylosauria",20.7482150884083
"Sauropoda",24.0219998688326
"Stegosauria",26.0238096826085
"Ankylosauria",26.4537958494634
"Sauropoda",19.4389276729699
"Theropoda",17.2948409963302
"Ankylosauria",26.4338933855911
"Ankylosauria",15.1445015741014
"Ankylosauria",11.5846501182599
"Ankylosauria",22.2144074577371
"Sauropoda",26.7318847619226
"Theropoda",21.4634001272781
"Stegosauria",14.6534517984249
"Ankylosauria",21.5774843892542
"Stegosauria",20.5757545330387
"Ankylosauria",21.8971409155255
"Theropoda",15.9571614490183
"Sauropoda",14.7055130992502
"Theropoda",25.5638012961021
"Stegosauria",24.7586330164712
"Sauropoda",21.6887885525488
"Ankylosauria",27.0811488099591
"Sauropoda",17.4603890130884
"Ankylosauria",20.242038335169
"Sauropoda",18.3647104929676
"Stegosauria",21.4708747320224
"Theropoda",28.5555092984111
"Stegosauria",17.3484337747808
"Theropoda",17.5254930761175
"Ankylosauria",17.0874881190256
"Ankylosauria",21.0349861907152
"Theropoda",15.4799439107541
"Theropoda",22.2852734563812
"Theropoda",17.4684253017756
"Theropoda",18.2007784490835
"Theropoda",24.9415905860434
"Ankylosauria",24.3494039390908
"Sauropoda",13.2541996022833
"Ankylosauria",12.7056346546377
"Ankylosauria",17.626037926265
"Stegosauria",20.5497723428167
"Stegosauria",16.0302943997047
"Theropoda",12.9256417990877
"Ankylosauria",22.1244722713369
"Stegosauria",19.0912679311504
"Sauropoda",22.2506756732648
"Sauropoda",18.7993350797737
"Sauropoda",18.7578737287625
"Sauropoda",17.1089566528434
"Ankylosauria",20.1426244689472
"Theropoda",19.6402687428585
"Theropoda",20.5359411403001
"Ankylosauria",20.8186147007465
"Ankylosauria",14.3400654560301
"Stegosauria",24.6319016186146
"Ankylosauria",22.5956315748657
"Theropoda",20.7570918709921
"Sauropoda",13.4522683633504
"Theropoda",22.5750356101651
"Ankylosauria",20.5827999067793
"Ankylosauria",18.4592676723358
"Ankylosauria",21.7254554540108
"Stegosauria",23.3459565012774
"Theropoda",15.1987631351972
"Stegosauria",21.2006048160573
"Theropoda",14.2600988757051
"Ankylosauria",22.3054950570904
"Ankylosauria",21.0441961770679
"Ankylosauria",19.9183943579307
"Theropoda",17.1365392687137
"Sauropoda",21.9998743669946
"Sauropoda",16.8291156395496
"Ankylosauria",13.1156081144377
"Ankylosauria",21.0030644602191
"Theropoda",23.4723461766268
"Stegosauria",12.8002829947554
"Theropoda",25.2688445998087
"Stegosauria",18.9378186837626
"Stegosauria",24.4421612571606
"Stegosauria",26.3911047309903
"Sauropoda",22.4435090431655
"Ankylosauria",18.1484619984269
"Sauropoda",17.4820253878016
"Theropoda",15.5549021222638
"Stegosauria",14.2182619080182
"Theropoda",17.0907528062213
"Theropoda",21.9463339575534
"Sauropoda",17.3386473867627
"Sauropoda",12.0012765854945
"Sauropoda",23.2102213453271
"Theropoda",20.7541968961496
"Sauropoda",19.3805858165792
"Theropoda",23.5777631476921
"Sauropoda",14.9921406241626
"Sauropoda",24.4595466427196
"Stegosauria",22.5469307818535
"Sauropoda",20.2231897721236
"Sauropoda",21.0975784474842
"Theropoda",21.5165619078913
"Stegosauria",27.758468456328
"Theropoda",18.396365693568
"Stegosauria",22.6605687036183
"Ankylosauria",18.905340736662
"Sauropoda",17.7070421115433
"Ankylosauria",18.4817157428853
"Ankylosauria",27.4922882812983
